time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,001917;-0,0338;0,0034;-0,0872;0,094
0,002798;-0,0171;0,0014;-0,0920;0,094
0,008583;-0,0553;-0,0100;-0,0331;0,065
0,010248;-0,0434;-0,0450;0,0465;0,078
0,018636;-0,0340;-0,0654;0,1255;0,146
0,022175;-0,0625;-0,0740;0,1068;0,144
0,026320;-0,0409;-0,0967;0,0956;0,142
0,030614;-0,0076;-0,0886;0,0682;0,112
0,036686;0,0517;-0,0973;0,0675;0,129
0,042091;0,0845;-0,0941;-0,0256;0,129
0,045672;0,0224;-0,0341;-0,1058;0,113
0,050372;-0,1125;0,0586;-0,1354;0,186
0,057092;-0,3582;0,2811;-0,0981;0,466
0,062131;-0,2275;0,2905;-0,1090;0,385
0,066748;-0,1672;0,3166;-0,2080;0,414
0,069912;-0,0503;0,2738;-0,2781;0,393
0,075055;0,0352;0,2244;-0,3194;0,392
0,088342;0,0563;0,1448;-0,2897;0,329
0,089427;0,0300;0,0686;-0,2681;0,278
0,090014;0,0182;0,0028;-0,2616;0,262
0,096287;-0,0247;-0,0288;-0,2465;0,249
0,102181;0,0297;-0,0409;-0,1372;0,146
0,107101;0,0762;-0,0338;-0,1314;0,156
0,110307;0,1819;-0,0764;-0,1496;0,248
0,115435;0,2897;-0,0950;-0,2506;0,395
0,120398;0,3762;-0,1655;-0,3486;0,539
0,126167;0,4061;-0,1497;-0,3912;0,583
0,131986;0,3679;-0,0913;-0,3766;0,534
0,134566;0,2476;-0,0403;-0,2839;0,379
0,140730;0,1001;0,0032;-0,2371;0,257
0,146168;-0,0537;0,0820;-0,0984;0,139
0,149134;-0,5256;0,3881;0,3308;0,732
0,153888;-0,7904;0,5728;0,4855;1,090
0,163437;-0,6712;0,4616;0,4866;0,949
0,165848;-0,4746;0,3821;0,4420;0,753
0,169335;-0,2289;0,2084;0,2050;0,371
0,174161;-0,0405;0,0341;0,0119;0,054
0,191500;0,1489;-0,1382;-0,0999;0,226
0,193372;0,2851;-0,2091;-0,1210;0,374
0,194459;0,3380;-0,3148;0,0620;0,466
0,195181;0,3537;-0,4078;0,2486;0,594
0,212111;0,3512;-0,4720;0,3089;0,664
0,214082;0,3399;-0,4291;0,2748;0,613
0,214798;0,3128;-0,3585;0,2016;0,517
0,215359;0,3034;-0,2936;0,1655;0,454
0,220312;0,1999;-0,1964;0,1092;0,301
0,226883;0,0930;-0,1334;0,0897;0,186
