Equipamento;Razão Social;Situação;Taxa de Depreciação;Valor do Equipamento;
CICLOTRON;2;Não Obsoleto;65%;4608133.22;
AGITADOR;1;Obsoleto;117%;-346.85;
HOT CELL;2;Obsoleto;155%;-82561.64;
HOT CELL;2;Obsoleto;155%;-82561.64;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-26013.70;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-31216.44;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
HOT CELL;2;Obsoleto;155%;-82561.64;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
ARCO CIRÚRGICO;3;Não Obsoleto;51%;197808.22;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
HOT CELL;2;Não Obsoleto;77%;34027.40;
APARELHO DE ANESTESIA;1;Obsoleto;112%;-24164.38;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
DETECTOR DE RADIOLOGIA DIGITAL;3;Não Obsoleto;19%;62347.64;
RESSONÂNCIA MAGNÉTICA;3;Obsoleto;153%;-3726301.37;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Não Obsoleto;99%;1816.44;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
MEDIDOR DE ENDOTOXINA LAL;2;Obsoleto;155%;-133749.86;
MEDIDOR DE ENDOTOXINA LAL;2;Obsoleto;107%;-17842.19;
MEDIDOR DE ENDOTOXINA LAL;2;Não Obsoleto;67%;79424.38;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-29482.19;
APARELHO DE ANESTESIA;1;Obsoleto;117%;-34684.93;
ARCO CIRÚRGICO;1;Obsoleto;117%;-75058.19;
ARCO CIRÚRGICO;1;Obsoleto;117%;-60698.63;
ARCO CIRÚRGICO;1;Obsoleto;117%;-60698.63;
