time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0.001182;-0.0573;0.0252;-0.1486;0.161
0.003077;-0.0529;0.0105;-0.0851;0.101
0.007765;-0.0627;0.0104;-0.0467;0.079
0.023349;-0.0486;0.0296;-0.0474;0.074
0.024081;-0.0631;0.0346;-0.0679;0.099
0.024440;-0.0585;0.0399;-0.0653;0.096
0.029385;-0.0682;0.0882;-0.0160;0.113
0.033871;-0.0494;0.0745;-0.0104;0.090
0.038114;-0.0497;0.0754;-0.0150;0.092
0.043680;-0.0597;0.0717;-0.0533;0.107
0.048809;-0.0605;0.1013;-0.0679;0.136
0.053751;-0.0187;0.1165;-0.0113;0.119
0.059475;-0.0059;0.1171;0.0264;0.120
0.063835;-0.0309;0.1080;0.0312;0.117
0.067063;-0.0081;-0.0199;0.0508;0.055
0.074149;-0.0659;-0.0853;0.0759;0.132
0.079670;-0.0663;-0.1742;0.0636;0.197
0.091202;-0.0669;-0.1724;0.0664;0.196
0.092053;-0.0296;-0.1756;0.0416;0.183
0.092788;-0.0116;-0.1791;0.0414;0.184
0.098979;-0.0079;-0.1685;0.0656;0.181
0.103798;-0.0137;-0.1630;0.0332;0.167
0.108225;-0.0100;-0.1576;-0.0271;0.160
0.112759;-0.0395;-0.1666;-0.0201;0.172
0.118044;0.0119;-0.1234;-0.0463;0.132
0.123355;0.0343;-0.0995;-0.0674;0.125
0.127531;0.0423;-0.0617;-0.0881;0.116
0.132469;0.1025;-0.0004;-0.0991;0.143
0.137341;0.1053;-0.0204;-0.1386;0.175
0.142772;0.1035;-0.0497;-0.0826;0.141
0.148863;0.0829;-0.0265;-0.0080;0.087
0.152125;0.0627;-0.0225;0.0090;0.067
0.156815;0.0618;-0.0139;0.0117;0.064
0.162668;0.0326;0.0091;0.0238;0.041
0.167552;0.0323;-0.0298;0.0118;0.046
0.172399;0.0225;-0.0113;-0.0241;0.035
0.177483;0.0129;0.0357;-0.0271;0.047
0.192896;0.0651;0.0873;-0.0400;0.116
0.194246;0.0646;0.1243;-0.0484;0.148
0.194769;0.0881;0.1421;-0.0761;0.184
