time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0.001113;-0.3385;0.0758;0.1512;0.378
0.001726;-0.3381;0.1189;0.3217;0.482
0.008107;-0.2116;0.0806;0.4206;0.478
0.012781;-0.1120;0.0258;0.4318;0.447
0.024001;0.0183;-0.0335;0.4037;0.405
0.024470;0.0630;-0.0118;0.2174;0.227
0.024703;0.1466;-0.0236;0.1136;0.187
0.032104;0.1779;-0.0402;0.0278;0.185
0.035856;0.2431;-0.0613;0.0117;0.251
0.039899;0.0992;-0.0825;0.0484;0.138
0.044445;-0.2222;-0.0891;-0.0031;0.239
0.051997;-0.4666;-0.0601;-0.1089;0.483
0.056539;-0.5377;-0.0287;-0.2522;0.595
0.060226;-0.5507;0.0096;-0.3190;0.637
0.064662;-0.2922;-0.0756;-0.4691;0.558
0.072306;-0.0656;-0.1718;-0.5122;0.544
0.076114;-0.0627;-0.1790;-0.4987;0.534
0.079505;0.0583;-0.3902;-0.6099;0.726
0.092822;-0.6761;-0.4569;-0.4955;0.955
0.093608;-0.4637;-0.5205;-0.4536;0.832
0.096866;0.0981;-0.5076;-0.4410;0.680
0.099564;0.2307;-0.3854;-0.5549;0.714
0.105757;0.0324;-0.1690;-0.7258;0.746
0.111513;-0.0813;0.0174;-0.7066;0.711
0.117640;-0.0326;0.2547;-0.4321;0.503
0.119908;0.1418;0.3738;-0.2127;0.453
0.125317;0.2895;0.4065;-0.1783;0.530
0.130965;0.3705;0.3986;-0.1753;0.572
0.137485;0.1164;0.3695;0.0128;0.388
0.140066;0.5113;0.0367;-0.0333;0.514
0.144089;0.5172;-0.0869;-0.0052;0.525
0.154197;0.3270;-0.0883;0.0035;0.339
0.155419;0.0196;-0.0160;-0.0168;0.030
0.158979;-0.3122;0.0724;-0.1109;0.339
0.163870;-0.5241;0.1128;-0.2545;0.593
0.171192;-0.4909;0.1672;-0.2955;0.597
0.175459;-0.2950;0.2213;-0.2916;0.470
0.178828;-0.1030;0.2632;-0.2763;0.395
0.199086;0.0378;0.2786;-0.1901;0.339
0.200285;0.1521;0.3415;-0.1238;0.394
0.200909;0.1737;0.3420;-0.0366;0.385
0.201376;0.2198;0.3236;-0.0331;0.393
0.205201;0.2305;0.3099;-0.0053;0.386
0.209703;0.2422;0.2487;-0.0297;0.348
0.214863;0.2806;0.1690;-0.0014;0.328
0.219462;0.2914;0.1135;0.0722;0.321
0.223342;0.2749;0.0490;0.1477;0.316
0.228906;0.2261;0.0465;0.2090;0.311
0.234241;0.0976;0.0392;0.2585;0.279
0.239274;-0.2053;0.0509;0.2343;0.316
0.242902;-0.4519;0.0505;0.2509;0.519
0.248434;-0.4602;0.0881;0.2821;0.547
0.255018;-0.3531;0.1229;0.2801;0.467
0.259958;-0.2304;0.0814;0.2429;0.345
0.264053;-0.0492;-0.0050;0.2324;0.238
0.272097;0.0193;-0.0004;0.2672;0.268
0.275397;0.0287;-0.0482;0.2545;0.261
0.279439;0.0124;-0.0815;0.2588;0.272
0.283358;0.0226;-0.1240;0.3108;0.335
0.289789;-0.1050;-0.0808;0.3345;0.360
0.294989;-0.1299;-0.0643;0.2802;0.315
0.300406;0.1163;-0.1595;0.1936;0.277
0.304255;0.3613;-0.2161;0.0413;0.423
0.309867;0.3987;-0.2270;-0.0622;0.463
0.314406;0.2917;-0.2568;-0.1368;0.412
0.319296;0.2146;-0.2792;-0.1092;0.369
0.323870;0.1380;-0.2679;-0.1868;0.355
0.329505;0.0430;-0.2329;-0.2784;0.366
0.335679;0.0361;-0.1909;-0.2917;0.350
0.340094;-0.0186;-0.1444;-0.3054;0.338
0.343140;-0.0166;-0.1076;-0.2437;0.267
0.347376;-0.0483;-0.0947;-0.1591;0.191
0.352764;-0.0541;-0.0345;-0.0467;0.079
0.358672;-0.0152;0.0111;-0.0635;0.066
0.362222;-0.0102;0.0301;-0.0397;0.051
0.369005;-0.0054;0.0061;-0.0515;0.052
0.373976;-0.0530;-0.0010;0.0083;0.054
0.378330;-0.0434;-0.0296;0.0205;0.056
0.382738;-0.0791;-0.0153;0.0164;0.082
0.398543;-0.1337;-0.0795;0.0362;0.160
0.399801;-0.1784;-0.0292;0.0370;0.185
0.400218;-0.1780;-0.0340;0.1071;0.211
0.401667;-0.1660;-0.0199;0.1342;0.214
0.408479;-0.1686;-0.0249;0.1660;0.238
0.413438;-0.1661;-0.0347;0.1860;0.252
0.419216;-0.2136;-0.0777;0.2226;0.318
0.421585;-0.1921;-0.0064;0.1949;0.274
0.428233;-0.0879;0.0951;0.1628;0.208
0.432836;0.0959;0.1863;0.1667;0.268
0.438001;0.2143;0.1960;0.0496;0.295
0.441387;0.2371;0.1534;-0.0547;0.288
0.447371;0.2103;0.0803;-0.1751;0.285
0.452311;0.1340;0.0507;-0.2072;0.252
0.458068;0.0941;-0.0379;-0.1920;0.217
0.461604;0.0904;-0.0332;-0.1392;0.169
0.470007;0.0346;-0.0189;-0.0991;0.107
0.473607;-0.0136;0.0096;-0.0118;0.020
0.478111;-0.0282;0.0402;0.0367;0.061
0.481296;-0.0709;0.0776;0.0208;0.107
0.497477;-0.0632;0.0482;0.0478;0.093
0.499339;-0.0057;0.0286;-0.0014;0.029
0.499804;0.0066;-0.0027;-0.0504;0.051
0.502454;0.0691;-0.0384;-0.0994;0.127
0.507533;0.0293;-0.0596;-0.1482;0.162
0.512746;-0.0052;-0.0876;-0.1423;0.167
0.519716;-0.0250;-0.1223;-0.1536;0.198
0.521167;-0.1184;-0.0926;-0.1249;0.195
0.527178;-0.1020;-0.0916;-0.0277;0.140
0.533156;-0.1551;-0.0717;0.0785;0.188
0.537970;-0.1631;-0.0662;0.1676;0.243
0.540948;-0.1146;-0.0420;0.2329;0.263
0.546734;-0.0550;-0.0323;0.2295;0.238
0.553150;0.0136;-0.0371;0.1816;0.186
0.556576;0.1814;0.0031;0.1108;0.213
0.561154;0.2936;-0.0235;0.0219;0.295
0.566364;0.3625;-0.0215;-0.0804;0.372
0.572033;0.2983;-0.0194;-0.1844;0.351
0.578390;0.1086;-0.0695;-0.2451;0.277
0.580478;0.0110;-0.1263;-0.1917;0.230
0.589013;0.0283;-0.1706;-0.0346;0.176
0.591374;0.0337;-0.1980;-0.0330;0.204
0.597845;0.0107;-0.1064;-0.0791;0.133
0.603142;-0.0385;-0.0179;-0.1560;0.162
0.605634;-0.0922;0.0059;-0.1662;0.190
0.612492;-0.0744;0.0107;-0.1365;0.156
0.617393;-0.0546;0.0818;-0.0501;0.110
0.621192;-0.0136;0.1406;0.0281;0.144
0.625171;-0.0109;0.2107;0.1084;0.237
0.632425;-0.0345;0.2304;0.1525;0.278
0.637560;0.0039;0.2165;0.1823;0.283
0.640733;0.0208;0.1482;0.2048;0.254
0.645557;-0.0311;0.0637;0.1965;0.209
0.653505;-0.0543;0.0369;0.1859;0.197
0.655215;-0.0416;0.0294;0.1351;0.144
0.661519;0.0042;0.0527;0.0659;0.084
0.665547;0.1019;0.1019;-0.0361;0.149
0.671878;0.0778;0.0986;-0.1017;0.162
0.676376;0.0992;0.1356;-0.1100;0.201
0.680415;0.0445;0.1273;-0.1634;0.212
0.698645;-0.0593;0.1262;-0.1312;0.191
0.699906;-0.1667;0.1299;-0.1325;0.249
0.700356;-0.1687;0.1669;-0.0748;0.249
0.700769;-0.1704;0.1560;-0.0128;0.231
0.704764;-0.1291;0.1524;0.0465;0.205
0.711181;-0.0713;0.1131;0.0840;0.158
0.716154;-0.0115;0.0812;0.1334;0.157
0.719461;0.0743;0.0518;0.0973;0.133
0.725612;0.0410;0.0488;0.0473;0.079
0.731013;-0.0039;0.0054;-0.0163;0.018
0.735806;-0.0366;-0.0162;-0.0654;0.077
0.739357;-0.0884;0.0051;-0.0973;0.132
0.744082;-0.1188;-0.0165;-0.1219;0.171
0.752592;-0.1497;-0.0402;-0.1108;0.191
0.754906;-0.1571;-0.0851;-0.1189;0.215
0.759286;-0.1006;-0.0846;-0.1839;0.226
0.764531;-0.0521;-0.1124;-0.1703;0.211
0.771522;-0.0586;-0.1186;-0.1450;0.196
0.775314;-0.0414;-0.1176;-0.0680;0.142
0.779274;-0.0386;-0.1308;-0.0129;0.137
0.784414;-0.0119;-0.1582;-0.0178;0.160
0.798392;-0.0401;-0.2091;0.0156;0.213
0.799876;-0.0276;-0.2453;0.0201;0.248
0.800366;-0.0317;-0.2432;-0.0112;0.246
0.804145;-0.0240;-0.2530;-0.0162;0.255
0.810370;-0.0520;-0.2650;-0.0308;0.272
0.815357;-0.0515;-0.2840;-0.0005;0.289
0.820315;-0.0584;-0.2411;-0.0015;0.248
0.823738;-0.0272;-0.2221;0.0352;0.227
0.829562;-0.0129;-0.1036;0.0643;0.123
0.837194;0.0250;-0.0502;0.0740;0.093
0.840034;0.0319;-0.0066;0.0741;0.081
0.843474;-0.0064;0.0579;0.1073;0.122
0.849536;-0.0495;0.0793;0.1377;0.166
0.854924;-0.0636;0.0434;0.1112;0.135
0.858269;-0.0612;0.0458;0.0919;0.120
0.863730;-0.0565;0.0362;0.0421;0.079
0.872773;-0.0090;0.0149;0.0260;0.031
0.875262;0.0120;0.0293;0.1076;0.112
0.879452;0.0187;0.0483;0.0893;0.103
0.884556;0.0371;0.1120;0.1192;0.168
0.890865;0.0695;0.1372;0.0943;0.180
0.894926;0.0447;0.1669;0.0867;0.193
0.899980;0.0510;0.1868;0.0839;0.211
0.904660;0.0763;0.2090;0.0002;0.222
0.910081;0.0825;0.2571;-0.0045;0.270
0.915522;0.0485;0.2337;-0.0049;0.239
0.920740;0.0362;0.2129;0.0326;0.218
0.923774;-0.0020;0.1780;0.0435;0.183
0.930242;-0.0280;0.1102;0.0568;0.127
0.934569;-0.0444;0.0405;0.0606;0.085
0.939364;-0.0585;-0.0048;0.0476;0.076
0.943608;-0.0869;-0.0402;0.0205;0.098
0.948790;-0.0917;-0.0564;0.0080;0.108
0.954736;-0.0706;-0.0558;-0.0091;0.090
0.957920;-0.0474;-0.0908;-0.0522;0.115
0.963116;-0.0438;-0.1161;-0.0736;0.144
0.970377;-0.0499;-0.0841;-0.0662;0.118
0.974395;-0.0466;-0.0809;-0.0637;0.113
0.977633;-0.0313;-0.0682;-0.0259;0.079
0.982922;-0.0330;-0.0888;0.0304;0.099
0.991392;-0.0227;-0.0546;0.0555;0.081
0.992810;-0.0004;-0.0349;0.0875;0.094
0.999024;-0.0163;-0.0392;0.0432;0.061
1.009224;0.0371;-0.0576;0.0442;0.081
1.010690;0.0380;-0.0592;0.0239;0.074
1.013653;0.0509;-0.0728;0.0181;0.091
1.021232;0.0281;-0.0720;-0.0114;0.078
1.023056;0.0220;-0.0641;-0.0072;0.068
1.028214;0.0252;-0.0539;-0.0219;0.063
1.032989;0.0402;-0.0818;0.0158;0.093
1.040128;0.0359;-0.0335;0.0154;0.051
1.042259;0.0504;-0.0024;0.0248;0.056
1.048099;0.0480;-0.0048;0.0131;0.050
1.053293;0.0670;0.0190;-0.0032;0.070
1.058051;0.0455;0.0377;-0.0076;0.060
1.062054;0.0839;0.0374;-0.0617;0.111
1.067528;0.0820;0.0228;-0.0801;0.117
1.073631;0.0685;0.0488;-0.0296;0.089
1.078435;0.0484;0.0769;-0.0151;0.092
1.082185;0.0714;0.0359;0.0181;0.082
1.092455;0.0590;0.0522;0.0583;0.098
1.093607;0.0422;0.0732;0.0744;0.113
1.098974;0.0328;0.0511;0.1024;0.119
1.111104;0.0546;0.0910;0.1184;0.159
1.112148;0.0669;0.0712;0.1225;0.157
1.112545;0.0173;0.0420;0.1077;0.117
1.118705;0.0133;0.0130;0.0432;0.047
1.122380;0.0261;0.0032;0.0387;0.047
1.127528;0.0317;0.0054;0.0010;0.032
1.132467;0.0349;-0.0162;-0.0078;0.039
1.137415;-0.0000;-0.0115;-0.0427;0.044
1.141324;0.0010;-0.0235;-0.0486;0.054
1.147549;-0.0005;-0.0400;-0.0903;0.099
1.153670;-0.0280;-0.0541;-0.1081;0.124
1.157395;-0.0339;-0.0490;-0.0879;0.106
1.161155;-0.0136;-0.0415;-0.0585;0.073
1.166114;-0.0220;-0.0341;-0.0224;0.046
1.172443;-0.0566;-0.0457;0.0063;0.073
1.177527;-0.0269;-0.0429;0.0179;0.054
1.181535;-0.0164;-0.0330;0.0269;0.046
1.191367;-0.0203;-0.0065;0.0216;0.030
1.192498;-0.0548;-0.0040;0.0067;0.055
1.197053;-0.0891;-0.0062;0.0514;0.103
1.203000;-0.1043;0.0058;0.0077;0.105
1.207030;-0.0601;0.0391;-0.0096;0.072
1.212517;-0.0377;0.0365;-0.0505;0.073
1.217236;-0.0347;0.0435;-0.0389;0.068
1.220580;-0.0177;0.0362;-0.0417;0.058
1.226014;0.0348;0.0431;-0.0752;0.093
1.232221;0.0227;0.0192;-0.0895;0.094
1.237545;0.0320;0.0192;-0.1038;0.110
1.240477;0.0175;0.0287;-0.0967;0.102
1.245577;0.0576;0.0026;-0.0730;0.093
1.251734;0.0856;-0.0115;-0.0519;0.101
1.257072;0.0610;-0.0041;-0.0427;0.075
1.260347;0.0530;-0.0181;-0.0170;0.059
1.265161;0.0832;-0.0392;0.0038;0.092
1.273732;0.0346;-0.0530;0.0198;0.066
1.277255;0.0125;-0.0168;0.0335;0.039
1.280445;0.0024;0.0024;0.0258;0.026
1.287707;0.0018;0.0261;0.0683;0.073
1.291684;0.0581;0.0520;0.0561;0.096
1.296745;0.0379;0.0301;-0.0176;0.052
1.300077;-0.0154;0.0655;-0.0339;0.075
1.305150;0.0103;0.0815;-0.0288;0.087
1.311635;-0.0047;0.0714;-0.0712;0.101
1.316149;0.0068;0.0186;-0.0352;0.040
1.321852;-0.0028;0.0185;-0.0493;0.053
1.325301;0.0233;-0.0363;0.0079;0.044
1.332114;-0.0053;-0.0170;-0.0183;0.026
1.338427;0.0066;-0.0263;-0.0063;0.028
1.340109;0.0066;-0.0498;-0.0135;0.052
1.344997;0.0376;-0.0328;-0.0016;0.050
1.355266;0.0231;-0.0301;0.0245;0.045
1.356531;0.0206;-0.0274;0.0645;0.073
1.360084;0.0252;0.0132;0.0545;0.061
1.364618;0.0013;-0.0060;0.0755;0.076
1.370913;0.0086;-0.0201;0.0439;0.049
1.376584;0.0208;-0.0437;0.0624;0.079
1.379707;-0.0241;-0.0291;0.1021;0.109
1.384575;-0.0044;-0.0693;0.1015;0.123
1.393264;-0.0013;-0.0474;0.0772;0.091
1.395119;-0.0100;-0.0162;0.0390;0.043
1.400396;-0.0020;-0.0281;0.0059;0.029
1.409476;-0.0083;-0.0470;0.0135;0.050
1.411551;-0.0382;-0.0491;-0.0335;0.071
1.415926;-0.0681;-0.0394;-0.0683;0.104
1.420660;-0.0668;-0.0296;-0.0650;0.098
1.424241;-0.0633;-0.0105;-0.0879;0.109
1.430934;-0.0481;-0.0247;-0.0965;0.111
1.435332;-0.0191;0.0278;-0.0909;0.097
1.439694;-0.0190;0.0085;-0.0878;0.090
1.443831;-0.0022;0.0560;-0.0777;0.096
1.450047;0.0142;0.0556;-0.0727;0.093
1.454779;0.0568;0.0481;-0.0655;0.099
1.459997;0.0422;0.0289;-0.0347;0.062
1.463998;0.0112;0.0407;-0.0138;0.044
1.470988;0.0043;0.0073;0.0307;0.032
1.473808;-0.0261;-0.0045;0.0131;0.030
1.480809;-0.0302;-0.0352;0.0931;0.104
1.483981;-0.0603;-0.0373;0.1231;0.142
1.493342;-0.0617;-0.0417;0.1552;0.172
1.495059;-0.0870;-0.0462;0.1470;0.177
1.501278;-0.0313;-0.0150;0.1201;0.125
1.507714;-0.0115;-0.0340;0.1006;0.107
1.510280;0.0224;0.0160;0.0578;0.064
1.515058;0.0536;-0.0129;0.0392;0.068
1.521776;0.0702;0.0464;0.0183;0.086
1.523524;0.0653;0.0268;-0.0117;0.072
1.529831;0.0747;0.0073;-0.0510;0.091
1.534276;0.0627;0.0118;-0.0687;0.094
1.539794;0.0413;0.0068;-0.0865;0.096
1.543298;0.0225;-0.0147;-0.0831;0.087
1.549071;0.0015;-0.0051;-0.1083;0.108
1.555202;0.0047;-0.0241;-0.1003;0.103
1.559353;-0.0277;-0.0048;-0.0546;0.061
1.563357;-0.0146;-0.0474;-0.0714;0.087
1.574268;-0.0298;-0.0112;-0.0956;0.101
1.575595;-0.0448;-0.0108;-0.0961;0.107
1.579418;-0.0524;0.0299;-0.0753;0.097
1.583958;0.0065;0.0703;-0.0120;0.072
1.589571;-0.0514;0.0629;0.0460;0.093
1.593540;-0.0187;0.0603;0.0943;0.113
1.599981;0.0067;0.0956;0.0877;0.130
1.604915;0.0009;0.0807;0.1242;0.148
1.609440;-0.0096;0.0588;0.0893;0.107
1.615605;-0.0130;0.0631;0.0977;0.117
1.621648;0.0144;0.0460;0.0396;0.062
1.623879;0.0178;0.0290;0.0342;0.048
1.628725;-0.0096;0.0169;0.0053;0.020
1.634389;0.0343;0.0216;-0.0495;0.064
1.638966;0.0782;0.0261;-0.0515;0.097
1.643562;0.0695;0.0544;-0.0583;0.106
1.648637;0.0420;0.0469;-0.0771;0.100
1.655928;0.0219;0.0537;-0.0935;0.110
1.658697;0.0090;0.0628;-0.0243;0.068
1.662368;0.0294;0.0172;-0.0032;0.034
1.668664;0.0068;0.0101;0.0033;0.013
1.673176;-0.0109;0.0172;0.0575;0.061
1.677298;0.0282;0.0290;0.0827;0.092
1.682416;0.0218;0.0288;0.1007;0.107
1.693052;0.0226;-0.0022;0.1447;0.147
1.694218;-0.0051;-0.0236;0.1434;0.145
1.698152;0.0029;-0.0923;0.1044;0.139
1.702234;-0.0532;-0.1058;0.0752;0.140
1.709962;-0.0186;-0.0860;0.0200;0.090
1.713742;-0.0079;-0.0781;-0.0325;0.085
1.718235;-0.0068;-0.0822;-0.0538;0.098
1.721891;-0.0129;-0.0719;-0.0490;0.088
1.728180;0.0145;-0.0498;-0.0636;0.082
1.732822;0.0179;-0.0611;-0.0377;0.074
1.738291;0.0167;-0.0248;-0.0170;0.034
1.741761;0.0320;-0.0267;0.0011;0.042
1.748318;0.0521;-0.0144;0.0215;0.058
