time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0.001124;-0.0300;-0.0153;-0.1175;0.122
0.001776;-0.0569;0.0296;-0.1450;0.159
0.008038;-0.0456;0.0480;-0.1299;0.146
0.011880;-0.0461;0.0449;-0.1698;0.182
0.015021;-0.0562;0.0562;-0.1788;0.196
0.020818;-0.0306;0.0484;-0.2048;0.213
0.031876;-0.0742;0.0075;-0.1693;0.185
0.032681;-0.0508;-0.0021;-0.1626;0.170
0.036544;-0.0324;-0.0426;-0.0872;0.102
0.041166;-0.0189;-0.0352;-0.0766;0.086
0.044457;-0.0196;-0.0563;0.0005;0.060
0.049777;0.0128;-0.0346;0.0176;0.041
0.065720;0.0334;-0.0035;0.0417;0.054
0.066524;0.0537;-0.0155;0.0374;0.067
0.067030;0.0431;-0.0345;0.0380;0.067
0.070944;0.0493;-0.0249;0.0221;0.059
0.075883;0.0839;-0.0107;-0.0007;0.085
0.080117;0.0969;-0.0321;0.0170;0.104
0.083789;0.0507;-0.0558;0.0370;0.084
0.090085;0.0594;-0.0270;0.0117;0.066
0.095491;0.0588;-0.0388;0.0033;0.071
0.099387;0.0223;-0.0055;-0.0049;0.024
0.103424;0.0267;0.0039;-0.0274;0.038
0.110792;0.0358;0.0275;-0.0713;0.084
0.115654;0.0521;0.0081;-0.0889;0.103
0.119236;0.0636;0.0222;-0.1423;0.157
0.123584;0.0870;0.0173;-0.1433;0.169
0.130335;0.0557;0.0409;-0.1590;0.173
0.133775;0.0558;0.0121;-0.1581;0.168
0.138512;0.0679;-0.0021;-0.1408;0.156
0.149677;0.0514;0.0028;-0.0859;0.100
0.150461;0.0256;0.0101;-0.0504;0.057
0.153428;0.0309;0.0030;-0.0272;0.041
0.158166;-0.0067;0.0079;0.0006;0.010
0.163486;-0.0081;-0.0134;0.0330;0.036
0.168431;0.0022;-0.0013;0.0486;0.049
0.178438;-0.0278;0.0036;0.0476;0.055
0.179207;-0.0243;-0.0296;0.0609;0.072
0.183034;0.0006;-0.0317;0.0936;0.099
0.190142;-0.0079;-0.0100;0.0833;0.084
0.195434;-0.0234;-0.0313;0.0853;0.094
0.197818;-0.0055;-0.0145;0.0946;0.096
0.202826;-0.0233;-0.0264;0.0875;0.094
0.209818;-0.0125;-0.0144;0.0664;0.069
0.214767;-0.0469;-0.0215;0.0336;0.062
0.217498;-0.0454;-0.0215;0.0275;0.057
0.223718;-0.0512;0.0093;0.0095;0.053
0.228944;-0.0379;0.0138;-0.0013;0.040
0.233433;-0.0652;-0.0007;-0.0214;0.069
0.237728;-0.0281;0.0016;-0.0415;0.050
0.243118;-0.0201;0.0323;-0.0353;0.052
0.250451;-0.0430;0.0247;-0.0388;0.063
0.252156;-0.0539;0.0078;-0.0353;0.065
0.267519;-0.0790;0.0337;-0.0366;0.093
0.268360;-0.0684;0.0476;-0.0760;0.113
0.268731;-0.0651;0.0471;-0.0558;0.098
0.274009;-0.0476;0.0253;-0.0573;0.079
0.279077;-0.0279;0.0156;-0.0516;0.061
0.283814;-0.0275;0.0107;-0.0296;0.042
0.289527;-0.0198;0.0105;-0.0291;0.037
0.293415;-0.0028;0.0176;-0.0311;0.036
0.297734;0.0142;-0.0206;-0.0404;0.047
0.301991;0.0119;0.0152;-0.0399;0.044
0.309025;0.0074;0.0175;-0.0301;0.036
0.314988;-0.0187;0.0102;0.0105;0.024
0.317590;-0.0089;0.0149;-0.0062;0.018
0.322486;-0.0253;0.0147;-0.0299;0.042
0.329165;-0.0253;0.0028;-0.0369;0.045
0.333611;-0.0227;0.0004;-0.0035;0.023
0.339154;-0.0059;0.0170;-0.0179;0.025
0.350141;-0.0083;0.0288;-0.0205;0.036
0.351326;-0.0012;-0.0094;-0.0468;0.048
0.352537;0.0271;-0.0116;0.0103;0.031
0.357098;0.0244;0.0313;0.0289;0.049
0.367582;-0.0090;-0.0069;0.0116;0.016
0.368238;0.0194;0.0074;0.0016;0.021
0.372192;0.0168;-0.0116;0.0108;0.023
0.378018;0.0213;0.0052;0.0126;0.025
0.383024;0.0376;0.0242;0.0049;0.045
0.388195;0.0608;0.0146;-0.0050;0.063
0.393704;0.0530;0.0264;0.0207;0.063
0.398059;0.0264;0.0072;0.0226;0.035
0.401110;0.0735;-0.0094;0.0529;0.091
0.408153;0.0490;0.0287;0.0189;0.060
0.413144;0.0415;0.0190;0.0565;0.073
0.418479;0.0555;0.0046;-0.0225;0.060
0.421851;0.0622;-0.0001;-0.0153;0.064
0.427850;0.0168;0.0071;-0.0512;0.054
0.432791;0.0000;0.0142;-0.0823;0.084
0.438183;-0.0522;-0.0001;-0.0893;0.103
0.450526;-0.0231;0.0024;-0.0823;0.085
0.451650;-0.0062;-0.0235;-0.0494;0.055
0.452049;-0.0274;-0.0231;-0.0479;0.060
0.457700;0.0276;-0.0251;-0.0229;0.044
0.462642;0.0014;-0.0009;0.0019;0.003
0.468637;0.0159;-0.0007;0.0360;0.039
0.472918;0.0159;0.0091;0.0556;0.059
0.477126;0.0043;-0.0027;0.0657;0.066
0.480685;0.0259;-0.0428;0.0521;0.072
0.486668;0.0283;-0.0162;0.0599;0.068
0.492756;0.0141;-0.0182;0.0227;0.032
0.497152;0.0119;-0.0274;0.0523;0.060
0.500427;0.0001;-0.0270;0.0034;0.027
0.506928;0.0098;-0.0266;0.0023;0.028
0.511498;0.0217;-0.0120;-0.0250;0.035
0.518050;0.0145;0.0025;-0.0163;0.022
0.520773;0.0310;0.0098;-0.0007;0.033
0.526438;0.0165;0.0217;-0.0254;0.037
0.533232;0.0260;-0.0044;0.0095;0.028
0.537929;0.0401;0.0480;0.0348;0.072
0.552158;0.0304;0.0168;0.0766;0.084
0.553205;0.0373;0.0167;0.0660;0.078
0.553630;0.0230;0.0356;0.0652;0.078
0.556750;0.0563;0.0021;0.0978;0.113
0.560628;0.0465;0.0021;0.0805;0.093
0.567873;0.0179;0.0163;0.0493;0.055
0.571514;0.0227;0.0280;0.0588;0.069
0.577462;0.0085;-0.0056;0.0588;0.060
0.579968;-0.0081;-0.0151;-0.0004;0.017
0.585750;-0.0150;-0.0246;-0.0046;0.029
0.592121;-0.0077;-0.0079;-0.0229;0.025
0.596085;0.0090;0.0040;-0.0343;0.036
0.599846;-0.0101;0.0253;-0.0599;0.066
0.605392;-0.0195;0.0061;-0.0690;0.072
0.611066;0.0021;0.0085;-0.0876;0.088
0.617061;-0.0004;-0.0034;-0.0778;0.078
