time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0.000746;-0.0512;0.0607;0.1013;0.129
0.004077;-0.0240;0.0072;0.1384;0.141
0.008213;0.0172;-0.0293;0.1257;0.130
0.014852;0.1055;-0.0585;0.0683;0.139
0.026800;0.1291;-0.1183;0.0472;0.181
0.027560;0.1195;-0.0707;0.0120;0.139
0.030790;0.1124;-0.0947;0.0150;0.148
0.036482;0.1102;-0.0829;-0.0058;0.138
0.038647;0.0890;-0.0736;0.0043;0.116
0.043467;0.0371;-0.0477;0.0025;0.060
0.048838;0.0545;-0.0315;-0.0208;0.066
0.054716;0.0575;-0.0059;0.0154;0.060
0.059552;0.0391;-0.0184;-0.0487;0.065
0.063010;0.0614;0.0309;-0.0388;0.079
0.069658;0.0763;-0.0009;-0.0196;0.079
0.074579;0.0817;0.0246;-0.0030;0.085
0.078731;0.0895;0.0025;0.0277;0.094
0.082489;0.0735;-0.0029;0.0558;0.092
0.089978;0.0673;0.0059;0.0459;0.082
0.095524;0.0039;0.0052;0.0552;0.056
0.099601;-0.0566;0.0091;0.0576;0.081
0.109588;-0.1287;0.0153;0.0529;0.140
0.110462;-0.1697;0.0262;0.0199;0.173
0.113515;-0.1156;0.0441;0.0037;0.124
0.119129;-0.0882;0.0618;-0.0290;0.112
0.124233;-0.0469;0.0675;-0.0188;0.084
0.129046;-0.0273;0.0684;-0.0396;0.084
0.136463;-0.0198;0.0718;-0.0913;0.118
0.137812;-0.0386;0.0633;-0.0620;0.097
0.142042;-0.0025;0.0692;-0.1164;0.135
0.147789;-0.0023;0.0347;-0.1493;0.153
0.154077;0.0314;0.0457;-0.1015;0.116
0.157225;0.0315;0.0211;-0.0993;0.106
0.164146;0.0340;0.0276;-0.0190;0.048
0.166970;-0.0251;0.0269;-0.0010;0.037
0.173162;0.0326;0.0096;-0.0213;0.040
0.176926;0.0163;-0.0099;-0.0414;0.046
0.182853;-0.0329;-0.0031;0.0025;0.033
0.198632;-0.0366;-0.0129;-0.0133;0.041
0.199533;-0.1234;-0.0013;-0.0006;0.123
0.199935;-0.1456;0.0197;0.0619;0.159
0.203969;-0.1250;0.0334;0.0716;0.148
0.208643;-0.0809;0.0375;0.0576;0.106
0.212872;-0.0727;0.0343;0.2245;0.238
0.216487;0.0280;0.0146;-0.0136;0.034
0.222573;-0.0050;0.0330;0.0377;0.050
0.227920;0.0125;-0.0034;0.0292;0.032
0.232887;0.0228;-0.0205;0.0566;0.064
0.237259;0.0212;-0.0398;0.1170;0.125
0.242203;0.0600;-0.0709;0.1320;0.161
0.246646;0.0368;-0.0566;0.1660;0.179
0.253652;0.0398;-0.0709;0.1262;0.150
0.256387;0.0311;-0.0710;0.1083;0.133
0.263096;0.0060;-0.0781;0.1668;0.184
0.269400;-0.0094;-0.0924;0.0657;0.114
0.271329;0.0134;-0.1018;0.0440;0.112
0.276744;-0.0067;-0.1278;0.0296;0.131
0.283256;-0.0624;-0.1179;0.0487;0.142
0.288081;-0.1368;-0.0940;0.0726;0.181
0.292917;-0.1896;-0.0894;0.1348;0.249
0.297451;-0.2469;-0.0517;0.1019;0.272
0.310241;-0.2375;-0.0597;0.2719;0.366
0.311262;0.0071;-0.1105;0.3560;0.373
0.312381;-0.0185;-0.0969;0.2525;0.271
0.316598;-0.0247;-0.0669;0.2407;0.251
0.322484;-0.0167;-0.0705;0.2414;0.252
0.326962;-0.0062;-0.0695;0.2021;0.214
0.332221;-0.0195;-0.0543;0.2183;0.226
0.336249;-0.0256;-0.0417;0.1781;0.185
0.342403;0.0348;-0.0126;0.1431;0.148
0.346293;0.0853;-0.0527;0.1704;0.198
0.352588;0.0927;-0.0569;0.1172;0.160
0.355698;0.0930;-0.0754;0.1431;0.187
0.362228;0.0411;-0.0748;0.1286;0.154
0.366614;0.0228;-0.1478;0.1456;0.209
0.370832;-0.0288;-0.0921;0.0817;0.126
0.375589;0.3076;-0.1340;-0.1078;0.352
0.380176;0.3117;-0.1658;-0.1755;0.394
0.387706;-0.0123;-0.0905;-0.2314;0.249
0.391774;-0.1845;-0.0346;-0.2686;0.328
